# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: Y:\CPE_100\Final_Project\FinalProject.csv
# Generated on: Wed Jul 08 11:04:16 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
displayoten5,Output,PIN_C2,2A,B2A_N0,PIN_C2,,,,,,,,,,,,,
displayoten6,Output,PIN_W19,4A,B4A_N0,PIN_W19,,,,,,,,,,,,,
displaytone0,Output,PIN_Y19,4A,B4A_N0,PIN_Y19,,,,,,,,,,,,,
displaytone1,Output,PIN_AB17,4A,B4A_N0,PIN_AB17,,,,,,,,,,,,,
displaytone2,Output,PIN_AA10,3B,B3B_N0,PIN_AA10,,,,,,,,,,,,,
displaytone3,Output,PIN_Y14,4A,B4A_N0,PIN_Y14,,,,,,,,,,,,,
displaytone4,Output,PIN_V14,4A,B4A_N0,PIN_V14,,,,,,,,,,,,,
displaytone5,Output,PIN_AB22,4A,B4A_N0,PIN_AB22,,,,,,,,,,,,,
displaytone6,Output,PIN_AB21,4A,B4A_N0,PIN_AB21,,,,,,,,,,,,,
displaytten0,Output,PIN_Y16,4A,B4A_N0,PIN_Y16,,,,,,,,,,,,,
displaytten1,Output,PIN_W16,4A,B4A_N0,PIN_W16,,,,,,,,,,,,,
displaytten2,Output,PIN_Y17,4A,B4A_N0,PIN_Y17,,,,,,,,,,,,,
displaytten3,Output,PIN_V16,4A,B4A_N0,PIN_V16,,,,,,,,,,,,,
displaytten4,Output,PIN_U17,4A,B4A_N0,PIN_U17,,,,,,,,,,,,,
displaytten5,Output,PIN_V18,4A,B4A_N0,PIN_V18,,,,,,,,,,,,,
displaytten6,Output,PIN_V19,4A,B4A_N0,PIN_V19,,,,,,,,,,,,,
ENTER1,Input,PIN_W9,3A,B3A_N0,PIN_W9,,,,,,,,,,,,,
ENTER2,Input,PIN_U7,3A,B3A_N0,PIN_U7,,,,,,,,,,,,,
Q0,Input,PIN_U13,4A,B4A_N0,PIN_U13,,,,,,,,,,,,,
Q1,Input,PIN_V13,4A,B4A_N0,PIN_V13,,,,,,,,,,,,,
Q2,Input,PIN_T13,4A,B4A_N0,PIN_T13,,,,,,,,,,,,,
Q3,Input,PIN_T12,4A,B4A_N0,PIN_T12,,,,,,,,,,,,,
resultones0,Output,PIN_U21,4A,B4A_N0,PIN_U21,,,,,,,,,,,,,
resultones1,Output,PIN_V21,4A,B4A_N0,PIN_V21,,,,,,,,,,,,,
resultones2,Output,PIN_W22,4A,B4A_N0,PIN_W22,,,,,,,,,,,,,
resultones3,Output,PIN_W21,4A,B4A_N0,PIN_W21,,,,,,,,,,,,,
resultones4,Output,PIN_Y22,4A,B4A_N0,PIN_Y22,,,,,,,,,,,,,
resultones5,Output,PIN_Y21,4A,B4A_N0,PIN_Y21,,,,,,,,,,,,,
resultones6,Output,PIN_AA22,4A,B4A_N0,PIN_AA22,,,,,,,,,,,,,
resulttens0,Output,PIN_AA20,4A,B4A_N0,PIN_AA20,,,,,,,,,,,,,
resulttens1,Output,PIN_AB20,4A,B4A_N0,PIN_AB20,,,,,,,,,,,,,
resulttens2,Output,PIN_AA19,4A,B4A_N0,PIN_AA19,,,,,,,,,,,,,
resulttens3,Output,PIN_AA18,4A,B4A_N0,PIN_AA18,,,,,,,,,,,,,
resulttens4,Output,PIN_AB18,4A,B4A_N0,PIN_AB18,,,,,,,,,,,,,
resulttens5,Output,PIN_AA17,4A,B4A_N0,PIN_AA17,,,,,,,,,,,,,
resulttens6,Output,PIN_U22,4A,B4A_N0,PIN_U22,,,,,,,,,,,,,
